iter	Passed	Remaining
0	124	22336
1	126	11280
2	128	7597
3	131	5769
4	133	4685
5	137	3978
6	139	3448
7	142	3063
8	145	2761
9	147	2505
10	149	2302
11	152	2129
12	154	1985
13	156	1860
14	159	1749
15	160	1648
16	163	1563
17	165	1487
18	167	1419
19	169	1358
20	171	1301
21	173	1249
22	176	1204
23	178	1160
24	181	1122
25	183	1087
26	185	1052
27	187	1020
28	190	991
29	192	961
30	196	944
31	198	919
32	201	895
33	203	873
34	205	849
35	207	828
36	209	809
37	212	794
38	214	776
39	216	758
40	219	742
41	221	727
42	223	712
43	225	697
44	228	685
45	230	671
46	232	658
47	234	645
48	236	632
49	238	619
50	240	607
51	242	596
52	244	585
53	246	574
54	248	564
55	249	553
56	251	543
57	253	533
58	255	524
59	258	516
60	259	507
61	261	498
62	263	489
63	265	481
64	267	472
65	268	464
66	270	456
67	272	448
68	274	441
69	276	434
70	278	427
71	279	419
72	281	413
73	283	406
74	285	400
75	287	393
76	289	387
77	291	380
78	293	375
79	295	369
80	297	363
81	298	357
82	300	351
83	302	346
84	304	340
85	306	334
86	308	329
87	310	324
88	311	318
89	313	313
90	315	308
91	317	303
92	319	298
93	321	293
94	323	289
95	324	284
96	327	280
97	329	275
98	331	271
99	333	266
100	335	262
101	336	257
102	339	253
103	341	249
104	342	244
105	344	240
106	346	236
107	348	232
108	350	228
109	352	224
110	354	220
111	356	216
112	358	212
113	360	208
114	362	204
115	364	201
116	366	197
117	368	193
118	369	189
119	371	185
120	373	182
121	376	178
122	378	175
123	380	171
124	382	168
125	384	164
126	386	161
127	388	157
128	392	155
129	394	151
130	395	148
131	397	144
132	399	141
133	401	137
134	403	134
135	405	131
136	408	128
137	410	124
138	411	121
139	413	118
140	415	114
141	417	111
142	419	108
143	420	105
144	422	102
145	424	98
146	426	95
147	428	92
148	430	89
149	432	86
150	434	83
151	436	80
152	438	77
153	440	74
154	441	71
155	443	68
156	445	65
157	447	62
158	449	59
159	451	56
160	453	53
161	455	50
162	457	47
163	459	44
164	461	41
165	463	39
166	465	36
167	468	33
168	470	30
169	471	27
170	473	24
171	475	22
172	477	19
173	479	16
174	481	13
175	483	10
176	485	8
177	487	5
178	489	2
179	490	0
